Novel,Author,Date Published,Date of Action,Location of Action,Tags
Dune,Frank Herbert,1965,21190,"Arrakis (fictional, OSS, OMWG)",05 10 M 33 42
Flowers for Algernon,Daniel Keyes,1966,1966,Earth,1 M 31 40
Babel-17,Samuel Delaney,1966,Very Distant Future,"Five Settled Galaxies (fictional, OSS, OMWG) with heavy action in the solar system",10 M 33 42
The Einstein Intersection,Samuel Delaney,1967,31967,Earth,1 M 33 42
Rite of Passage,Alexei Panshin,1968,2198,Ships (mobile worlds originating in the Sol system) and Colonies (fictional colonized worlds OSS),10 M 32 42
The Left Hand of Darkness,Ursula LeGuin,1969,N/A (possibly 4870),"Winter (fictional, OSS)",05 10 32 42
The Demolished Man,Alfred Bester,1953,2300's,Earth,1 F 32 42
Fahrenheit 451,Ray Bradbury,1953,"Unspecified Future, 20th Century",Earth,1 M 32 40
They'd Rather Be Right,Mark Clifton and Frank Riley,1954,"Unspecified Future, 20th or 21st Century",Earth,1 M 32 41
Double Star,Robert Heinlein,1956,2100,Mars and the Solar System at large,02 04 M 32 41
The Big Time,Fritz Leiber,1958,Outside of Time,Outside of the Universe,M 34
A Case of Conscience,James Blish,1958,2049,Lithia (OSS) & Earth,01 05 M 32 41
Starship Troopers,Robert Heinlein,1959,Unspecified but near future,Earth with action OMWG,1 M 32 42
A Canticle For Leibowitz,Walter Miller Jr.,1960,2600's,Earth,1 M 32 42
Stranger in a Strange Land,Robert Heinlein,1961,Unspecified but near future,Earth and Mars,01 02 M 32 42
The Man in the High Castle,Phillip Dick,1962,1962,Earth,1 M 31 40
Way Station,Clifford Simack,1963,Mid 20th Century,Earth and MWG,1 M 31 40
The Wanderer,Fritz Leiber,1964,Late 20th Century,Earth and SS,01 04 M 32 40
And Call Me Conrad,Roger Zelazny,1965,Distant Future,Earth,1 M 33 42
The Moon is a Harsh Mistress,Robert Heinlein,1966,2075,Moon,3 M 32 41
Lord of Light,Roger Zelazny,1967,Very Distant Future,Colony Planet (OSS),5 M 33 42
Stand On Zanzibar,John Brunner,1968,2010,Earth,1 M 32 41
